,Input qustion sentence,Actual sql Translation,Prideccted
386,"if the number of police officers is 94, what is the lowest population number?", select min population from table where police officers = 94 , select min population from table where viewers (in millions) = = overall 
387,what is the power of the engine with an engine code m44b19?, select power from table where engine code = m44b19 , select power from table where engine code = venue = top-10 
388,the k-1 mma romanex event went how many rounds?, select count round from table where event = k-1 mma romanex , select count round from table where event = 57 
389,which historical photos were taken at prospect 43 prospect ave?, select historical photos from table where location = prospect 43 prospect ave , select max jack # from table where location = paul to c 
390,in what week was the first game played?, select min week from table , select min week from table 
391,"what is the launch date odds of winning 1 in 4.23 with a top prize of $15,000?"," select launch date from table where odds of winning = 1 in 4.23 and top prize = $15,000 ", select launch date from table where top 1 = difference and winning = aaa 
392,what is the latest year that has more than 5 points and a renault ef15 1.5 v6 t engine?, select max year from table where engine = renault ef15 1.5 v6 t and points > 5 , select max year from table where engine = 7 march 2 and points > 49 
393,"when st kilda played as the away team, what date was that?", select date from table where away team = st kilda , select date from table where away team = st kilda 
394,the eyserweg race was which race #?, select max number from table where name = eyserweg , select max number from table where name = tournament 
395,what is the result of the game after week 5 against the st. louis rams?, select result from table where week > 5 and opponent = st. louis rams , select result from table where week > 5 and opponent = st. louis cardinals 
396,construction start of phase i includes what type?, select type from table where construction start = phase i , select from table where construction = 40 and type = i 
397,who drove for mathiasen motorsports with dane cameron as pole position?, select winning driver from table where winning team = mathiasen motorsports and pole position = dane cameron , select winning driver from table where winning team = position and winning team = position and race = 11 
398,what is reuben foster's college?, select college from table where player = reuben foster , select college from table where player = #2 
399,what is the minimum gross tonnage of the munich?, select min gross tonnage from table where ships name = munich , select min gross tonnage from table where ship = (billion 
400,who is the opponent with a score of 5–4?, select opponent from table where score = 5–4 , select opponent from table where score = 5-1 
401,name the number of date for w 107–97 (ot), select count date from table where score = w 107–97 (ot) , select count date from table where score = w w = womens 
402,what are 2004's notes?, select notes from table where year = 2004 , select notes from table where year = 2004 
403,what team scored more than 572 points and had more than 29 games?, select team from table where points > 572 and games > 29 , select team from table where points > 29 and games > 29 
404,who's the socialist ticket with a socialist labor ticket of charles m. carlson?, select socialist ticket from table where socialist labor ticket = charles m. carlson , select socialist ticket from table where socialist ticket = thomas edward 
405,"what tournement was held in helsinki, finland in 2005?"," select event from table where venue = helsinki, finland ", select event from table where venue = at boston bruins 
406,what is the 2008 result where 2003 is 325?, select 2008 from table where 2003 = 325 , select 2008 from table where 2003 = a 
407,what is listede for departure that also has a station code of clt?, select departure from table where station code = clt , select departure from table where station code = 
408,how many laps did antônio pizzonia do?, select count laps from table where driver = antônio pizzonia , select count laps from table where driver = sum rebounds = john 
409,what was the team #1 for the match that had a result of 0-3?, select team #1 from table where res. = 0-3 , select team from table where result = win 
410,what's the transmission where turbo is yes (mitsubishi td04-16t ), select transmission from table where turbo = yes (mitsubishi td04-16t ) , select transmission from table where duration = yes = no of 1971 
411,name the height for demetrius jemison, select height from table where name = demetrius jemison , select height from table where name = in outgoing manager = author 
412,how many home team scores have a time of 4:40 pm?, select count home team score from table where time = 4:40 pm , select count home team score from table where time = chris 2 
413,what were the pick numbers of the defensive tackles chosen by the new orleans saints in the 1983 draft?, select position from table where nfl team = new orleans saints , select position from table where nfl team = new orleans saints 
414,"what is the time of kenya, which is ranked 2?", select time from table where nation = kenya and rank = 2 , select time from table where athlete = michael 2 
415,in what season were then less than 3 races with less than 1 win?, select avg season from table where races < 3 and wins < 1 , select max season from table where wins < 3 and races < 1 
416,what is the percentage of perdue when mccrory has 37% and munger has 6%?, select democrat: beverly perdue from table where republican: pat mccrory = 37% and libertarian: michael munger = 6% , select democrat: michael from table where womens doubles = dave and season = hard 
417,how many totals does cork have whose rank is larger than 2?, select sum total from table where county = cork and rank > 2 , select sum total from table where county = 2 and silver > 2 
418,what country had a 100% cut?, select country from table where % cut = 100% , select country from table where % = 49 
419,name the year for standing 9th, select year from table where standing = 9th , select year from table where writer = 9th 
420,name the others % for johnson, select others% from table where county = johnson , select others% from table where county = johnson 
421,"in the game where the home team scored 15.11 (101) and carlton was away, where was the venue?", select venue from table where home team score = 15.11 (101) and away team = carlton , select venue from table where home team score = 6 and player = tim < 28 
422,in what year was the nfl team in chicago illinois established?, select est. from table where state/province = illinois and city = chicago and league = nfl , select min founded from table where team = utah state 
423,what's the 2006 if there's less than 6.7 in 2007 and less than 3.4 in 2009?, select sum 2006 from table where 2007 < 6.7 and 2009 < 3.4 , select sum 2006 from table where 2007 < 2009 and 2009 < alex 
424,what is the highest best score for the dance mambo?, select max best score from table where dance = mambo , select max best score from table where dance = jun 
425,what is the name of the visitor team who played home team chicago black hawks on march 20?, select visitor from table where home = chicago black hawks and date = march 20 , select visitor from table where home = detroit and date = march 20 
426,"which bronze has a silver of 15, and a gold smaller than 20?", select sum bronze from table where silver = 15 and gold < 20 , select min bronze from table where gold = 15 and silver < 20 
427,what is the korean dialect with a jeolla rr romaja?, select korean dialect from table where rr romaja = jeolla , select korean member from table where score = #2 
428,what is the season when the opponent was zenit st. petersburg?, select season from table where opponent = zenit st. petersburg , select season from table where opponent = st. louis league 
429,which ratio has a ratio as % of 78%?, select ratio from table where ratio as % = 78% , select ratio from table where ratio = ratio 
430,"before 2007, what was the avg start that had a pole of 0 and in 65th position?", select avg starts from table where poles = 0 and position = 65th and year < 2007 , select avg starts from table where poles = 0 and position = < standard 
431,"on june 30, 2008 who what was the republican: jeff sessions percentage?"," select republican: jeff sessions from table where dates administered = june 30, 2008 "," select republican: steve 2008 from table where dates administered = june 12, 2008 "
432,what is the highest rank where the distance is 52.73?, select max rank from table where distance (metres) = 52.73 , select max rank from table where distance (km) = type 
433,"what is the s registered user, when userpics free is 6 [free] or 15 [plus]?", select s registered user from table where userpics free = 6 [free] or 15 [plus] , select s station from table where launched = 6 december 1997 and player = david roll 
434,which platform was red dead redemption for?, select platform(s) from table where game = red dead redemption , select release from table where game site = new zealand 
435,what team is travelling to play hawthorn?, select away team from table where home team = hawthorn , select away team from table where home team = hawthorn 
436,"what is score, when date is greater than 7, and when game is ""82""?", select score from table where date > 7 and game = 82 , select score from table where game > 7 and date = 7 
437,on which date did the winfield triple challenge series take place?, select date from table where series = winfield triple challenge , select date from table where series = 7 
438,what is team when qual 1 is 1:20.139?, select team from table where qual 1 = 1:20.139 , select team from table where qual 1 = alex 
439,name the 1821 with 1811 of 1921, select 1821 from table where 1811 = 1921 , select from table where state = #2 
440,"who is the the artbeingt with song title being "" a little bitty tear """," select artist from table where song title = "" a little bitty tear "" "," select artist from table where song title = "" a a of the species of the species = michael states "
441,what is the date of the ameritech senior open?, select date from table where tournament = ameritech senior open , select date from table where tournament = tony tony 
442,what is the mean number of laps for the constructor ferrari when the time/retired was fuel pressure?, select avg laps from table where constructor = ferrari and time/retired = fuel pressure , select avg laps from table where constructor = ferrari and time/retired = maserati 
443,which date of date of successor's formal installation has a state (class) of michigan (2)?, select date of successor's formal installation from table where state (class) = michigan (2) ," select date of successors formal installation from table where state = paul 8, player (r) sum from table "
444,when stuttgart is the town what is the type?, select type from table where town = stuttgart , select type from table where type = points 
445,what percent did grüne get in tyrol where rettö got 0.6%?, select grüne from table where rettö = 0.6% and state = tyrol , select 6 from table where school = #2 
446,which handicap has the horse knowhere?, select handicap (st-lb) from table where horse = knowhere , select made from table where horse = team name 
447,what utah jazz player played center?, select player from table where position = center , select player from table where position = center 
448,"what was the most nepalis admitted when fewer than 1,896 bangladeshis were admitted?"," select max nepalis admitted from table where bangladeshis admitted < 1,896 ", select max withdrawn from table where class = #1 and gross = points 
449,"name the high assists for american airlines center 19,585"," select high assists from table where location attendance = american airlines center 19,585 ", select high assists from table where location attendance = american center of total 
450,"what 1953 has 2 as a 1949, and 3 as 1952?", select 1953 from table where 1949 = 2 and 1952 = 3 , select sum 2 from table where part 3 = richard and nationality = 
451,what is the average grid with more than 23 laps?, select avg grid from table where laps > 23 , select avg grid from table where laps > 23 
452,what is the minimum number of barangays where the type is component city?, select min no. of barangays from table where type = component city , select min no. of no. from table where type = city of 32 
453,what was the name of the tournament that the final was played against yi jingqian?, select tournament from table where opponent in the final = yi jingqian , select tournament from table where opponent in the final = roy 15 
454,what is the torque of the 5.8l v12 engine?, select torque from table where engine = 5.8l v12 , select torque from table where engine = 49 
455,what are the positions for menlo college?, select position from table where college = menlo college , select position from table where college = guillermo college 
456,"which surface has a date of january 2, 2006?"," select surface from table where date = january 2, 2006 "," select surface from table where date = january 2, 2006 "
457,which song was 1 week on top and had a volume:issue of 29:8?, select song from table where weeks on top = 1 and volume:issue = 29:8 , select song from table where top 1 = dave d:hh:mm:ss and silver = 1 
458,in which city is the station licensed whose frequency mhz is higher than 102.3 and whose call sign is k292eu?, select city of license from table where frequency mhz > 102.3 and call sign = k292eu , select city of license from table where frequency mhz > call and call sign = captain 
459,what is the 5pm show where cbs this morning is on at 7am?, select 5:00 pm from table where 7:00 am = cbs this morning , select 5:00 pm from table where 7:00 am = hawthorn 
460,list the candidates in district maryland 1 where the republican party won., select candidates from table where party = republican and district = maryland 1 , select party from table where party = republican and district = 6 
461,what is the season where the winner is norway and the winner women is russia?, select season from table where winner = norway and winner women = russia , select season from table where winner = winner and opponent = the kingdom 
462,what city scored 0:0, select city from table where results¹ = 0:0 , select city from table where results¹ = from 
463,what was the 2008 result associated with a 2009 of a and a 2011 of 2r?, select 2008 from table where 2009 = a and 2011 = 2r , select 2008 from table where 2011 = a and 2011 = 2r 
464,who is the japanese voice actor of eagle rider ollie keeawani?, select japanese voice actor from table where eagle riders = ollie keeawani , select japanese japanese from table where actor = steve simon 
465,what are all the .308 winchester cartridge types with 38 for the 300 m group (mm), select .308 winchester cartridge type from table where 300 m group (mm) = 38 , select video type from table where 38 type = 38 
466,what is the position for the player with cfl team winnipeg blue bombers?, select position from table where cfl team = winnipeg blue bombers , select position from table where cfl team = winnipeg blue hamilton 
467,what was the rank of bbc 2 in 2005?, select bbc two rank from table where year = 2005 , select rank from table where lane = 2 
468,who is partner frederik nielsen's opponents in the final?, select opponents in the final from table where partner = frederik nielsen , select opponents in the final from table where partner = jim 2008 
469,tell me the number of regions with an area of 58.81, select count region from table where area (km 2 ) = 58.81 , select count region from table where area (km 2 ) = wins 
470,what is the quantity when the seats number was 16 and the class was kss 1913?, select quantity from table where seats = 16 and class = kss 1913 , select quantity from table where seats = 16 and class = yes and class = # 
471,what was the record at week 9?, select record from table where week = 9 , select record from table where week = 9 
472,what was the away team when the home team score was 5.9 (39)?, select away team from table where home team score = 5.9 (39) , select away team from table where home team score = sheffield wednesday 
473,name the high rebounds for march 15, select high rebounds from table where date = march 15 , select high rebounds from table where date = march 15 
474,what type of 3d game did valve corporation release?, select genre from table where type = 3d and developer(s) = valve corporation , select genre from table where type = 22 and spike = presenter 
475,what were his points when he was in 8th position?, select points from table where position = 8th , select points from table where position = 8th 
476,"what is the episode number in the series for ""graduation"" that was directed by don corvan?"," select min ep. from table where directed by = don corvan and title = ""graduation"" "," select min no. in series from table where title = ""the & tournament of the latin = res. where "
477,what is the average goals less than 41 that goalkeeper claudio bravo had?, select count average from table where goals < 41 and goalkeeper = claudio bravo , select avg goals from table where average < 51 and wickets = 36 
478,name the competition of panathinaikos, select competition from table where opposition = panathinaikos , select competition from table where opposition = from 
479,how many laps does peter arundell have?, select laps from table where driver = peter arundell , select laps from table where driver = peter party 
480,how many goals did joey worthen have when he had 15 assists?, select goals from table where assists = 15 and player = joey worthen , select goals from table where assists = 15 and player = gary year(s) 
481,"which game has a streak of loss 1, and a score of 110–111?", select game from table where streak = loss 1 and score = 110–111 , select game from table where loss = 1 # and opponent = steve roll 
482,what date did the episode with andy murray as jamie and john's guest first broadcast?, select first broadcast from table where jamie and johns guest = andy murray , select first broadcast from table where jamie and finish = michael % and michael % = for and title = from table where character = ken 2 
483,what's the district with result being re-elected and candidates being clarence f. lea (d) unopposed, select district from table where result = re-elected and candidates = clarence f. lea (d) unopposed , select district from table where result = re-elected and result = re-elected and candidates = william 4 unopposed 
484,what was the result with a record of 58–11?, select result from table where record = 58–11 , select result from table where record = venue = 
485,"how many basketball arenas are there that belong to a school with a capacity of 3,000?"," select count basketball arena from table where capacity = 3,000 ", select count arena from table where capacity = tim of time 
486,what is the sum of the people in attendance when there was a loss of clement (5–7)?, select sum attendance from table where loss = clement (5–7) , select sum attendance from table where loss = pittsburgh # 
487,what position did the 2010-11 usa ír player have?, select position from table where nationality = usa and team = ír and season = 2010-11 , select position from table where position = guard and school/club team = event city 
488,who watches north melbourne when they are away?, select crowd from table where away team = north melbourne , select crowd from table where away team = north melbourne 
489,"what is the result of the match on january 26, 2006?"," select result from table where date = january 26, 2006 ", select result from table where date = january 31 
490,who had the high pick of the round of 10 for fairmont state college?, select max pick from table where college = fairmont state and round > 10 , select max pick from table where round = 8 and college = mike 31 
491,"how many civilians died in the conflict that left 178, excluding foreigners, dead?", select civilian deaths from table where total deaths (not including foreigners) = 178 , select total from table where total 42 launched = 51 
492,"when was the last time, since december 14, 1986, that the attendance was lower than 47,096?"," select max week from table where date = december 14, 1986 and attendance < 47,096 "," select max week from table where date = december 14, december and game site = alex attendance "
493,what is the overall number of chosen ideas where the person is scott parker, select count pick from table where player = scott parker , select count pick from table where player = scott johnson 
494,tell me the sum of win % for drawn being larger than 35, select sum win % from table where drawn > 35 , select sum win % from table where drawn > 27 
495,"how many totals have a silver smaller than 2, and a nation of ukraine, and a gold smaller than 3?", select count total from table where silver < 2 and nation = ukraine and gold < 3 , select count total from table where gold < 3 and nation = david < 2 
496,which away team has a venue of arden street oval?, select away team from table where venue = arden street oval , select away team from table where venue = arden street oval 
497,name the sanskrit word and meaning for aquarius, select sanskrit word and meaning from table where zodiac sign = aquarius , select count translation and bruce from table where plural = from table 
498,what team has windy hill as their home venue, select home team score from table where venue = windy hill , select home team score from table where venue = windy hill 
499,which year of issue has a thickness of 1.42mm?, select max year of issue from table where thickness = 1.42mm , select max year of issue from table where manufacturer = 
500,how many laps had a grid of greater than 17 and retired due to collision?, select sum laps from table where grid > 17 and time/retired = collision , select sum laps from table where grid > 17 and time/retired = apps 
501,which planet has a sanskrit word of budha?, select planet from table where sanskrit word = budha , select latin from table where word = (league) 
502,what was the score in the game that was won by sligo rovers f.c.?, select score from table where winners = sligo rovers f.c. , select score from table where winners = michael wins = poles 
503,what was the attendance of the game that had a loss of wolf (3-4)?, select attendance from table where loss = wolf (3-4) ," select attendance from table where loss = october 20, loss "
504,in the game where collingwood is the home team what is the score of the away team?, select away team score from table where home team = collingwood , select away team score from table where home team = collingwood 
505,"with theme the year they were born, what is the song of choice?", select song choice from table where theme = year they were born , select song choice from table where song title = 1 7:30 = story 
506,what is the average v-band for ka-band values under 33 and q-bands of 1?, select avg v-band from table where ka-band < 33 and q-band = 1 , select avg venue from table where laps = 33 and grid = 1 
507,"how many millions of u.s viewers watched the episode titled ""mended hearts""?"," select u.s. viewers (millions) from table where title = ""mended hearts"" "," select u.s. viewers (millions) from table where title = ""the points = highest "
508,how many semifinalists where from peru?, select semifinalists from table where country/territory = peru , select semifinalists from table where country/territory = netherlands 
509,what is the highest lane for nisha millet?, select max lane from table where name = nisha millet , select max lane from table where name = per week 
510,"what partner had a score of 6–3, 2–6, 6–3?"," select partner from table where score = 6–3, 2–6, 6–3 "," select partner from table where score = 6–3, 6–3 "
511,"what is away team, when home team is ""sheffield wednesday""?", select away team from table where home team = sheffield wednesday , select away team from table where home team = sheffield wednesday 
512,how many years did he play in santiago de compostela?, select sum year from table where city = santiago de compostela , select sum year from table where city = de name 
513,which pick's round was 5 when kellen davis was a player?, select pick from table where round = 5 and player = kellen davis , select pick from table where round = 5 and player = dave pick from table = womens 
514,can you tell me the annual change that has the location of manaus?, select annual change from table where location = manaus , select change from table where location = score 
515,"where was the match held when the result was win, and tko as the method?", select location from table where res. = win and method = tko , select location from table where method = tko and res. = win 
516,what is the attendance at the dallas home game on may 12?, select count attendance from table where home = dallas and date = may 12 , select avg attendance from table where home = detroit and date = may 12 
517,what is the score with a team that is @ portland?, select score from table where team = @ portland , select score from table where team = @ portland 
518,what country is rocco mediate from?, select country from table where player = rocco mediate , select country from table where player = #2 
519,what is smallest number in fleet for chassis manufacturer scania and fleet numbers is 3230?, select min number in fleet from table where chassis manufacturer = scania and fleet numbers = 3230 , select min number in fleet from table where chassis chassis = r 17 
520,what driver has 19 as the zan 1?, select driver from table where zan 1 = 19 ," select driver from table where driver = david 6, "
521,what is the 1993 value of the 1994 atp masters series?, select 1993 from table where 1994 = atp masters series , select 1993 and 1994 from table where tournament = wimbledon 
522,what is the score on december 1?, select score from table where date = december 1 , select score from table where date = december 1 
523,three men and a little lady from touchstone pictures was from what year?, select year from table where distributor(s) = touchstone pictures and title = three men and a little lady , select year from table where author = #2 and title = the school of the final score 
524,name the winner with rally leader of c. atkinson and name of agia sotira 1, select winner from table where rally leader = c. atkinson and name = agia sotira 1 ," select winner from table where song = 1 at 3–6, duration of birth = / assists = yes "
525,who directed the episode with a uk viewership of exactly 5.77 million?, select directed by from table where uk viewers (million) = 5.77 , select directed by from table where uk viewers (million) = wins = mike 
526,which status is 75.35 km2 and is named sussex?, select status from table where area km 2 < 75.35 and official name = sussex , select status from table where area km 2 < 32 
527,what are the results for the film titled 'joki'?, select count result from table where title in the original language = joki , select count result from table where film title used in nomination = won 
528,what's the location for men's speed skating?, select location from table where distance = men's speed skating , select location from table where distance = men's speed (mph) 
529,what was the highest attendance at junction oval?, select max crowd from table where venue = junction oval , select max crowd from table where venue = junction oval 
530,what was the top 5 in the year with an average finish of 8.2?, select min top 5 from table where avg. finish = 8.2 , select max top 5 from table where avg. finish = year 
531,"what is drawn, when club is newport rfc?", select drawn from table where club = newport rfc , select drawn from table where club = rfc 
532,opponent of igor samoilenco had what result?, select result from table where opponent = igor samoilenco ," select result from table where opponent = in coach = mike 27, "
533,what is the call sign for the erp w 19?, select call sign from table where erp w = 19 , select call sign from table where erp w = 19 
534,what player in opposition of kilkenny has a total of 10?, select player from table where total = 10 and opposition = kilkenny , select player from table where total = 10 and time = position 
535,"in the year where angela stanford had a scoring average of 71.62, how many times did she take second place?", select count 2nd from table where scoring average = 71.62 , select count 2nd from table where avg. place = 80 
536,what is the class for the erp w of more than 2 and the call sign of w223au?, select class from table where erp w > 2 and call sign = w223au , select class from table where erp w > 2 and call sign = attendance 
537,name the points for thierry tassin category:articles with hcards, select points from table where name = thierry tassin category:articles with hcards , select points from table where name = bob # and result = l born 
538,where was the delegate belonging to the judiciary committee of district 43 born?, select place of birth from table where committee = judiciary and district = 43 , select place of birth from table where contestant = e and team/country = mike round 
539,what is the score for the away team when they played hawthorn?, select away team score from table where home team = hawthorn , select away team score from table where away team = hawthorn 
540,on how many different dates did the episode with series number 35 air for the first time?, select count original air date from table where no. in series = 35 , select count original air date from table where no. in series = 35 
541,what date were the high assists rondo (5) and the high rebounds rondo (10)?, select date from table where high assists = rondo (5) and high rebounds = rondo (10) , select date from table where high rebounds = nat. and high assists = 21 january 2005 
542,"what time did the game start on saturday, april 20?"," select kickoff from table where date = saturday, april 20 ", select time from table where game site = sydney 23 
543,opponent of philadelphia eagles had what attendance?, select attendance from table where opponent = philadelphia eagles , select attendance from table where opponent = philadelphia eagles 
544,what was the score when burnley was the away team?, select score from table where away team = burnley , select score from table where away team = burnley 
545,what is the lowest shots with a point that is larger than 32?, select min shots from table where points > 32 , select min appearances from table where points > 32 
546,who was class aaa during the same year that class a was (tie) apple springs/texline?, select class aaa from table where class a = (tie) apple springs/texline , select class aa from table where class a = round of sponsor(s) 
547,what district has a democratic leader from roby?, select sum district from table where party = democratic and home town = roby , select sum district from table where democratic = (km doubles 4 
548,what is the result of the game of heinz field with a record of 2-5?, select result from table where game site = heinz field and record = 2-5 , select result from table where game site = 69 and record = 
549,what's the date when stu harris was the runner-up?, select date from table where runner-up skip = stu harris , select date from table where runner-up = i 
550,how many times was the high assists andre miller (7)?, select count date from table where high assists = andre miller (7) , select count date from table where high assists = andre miller (7) 
551,how may draws did libertad have?, select count draws from table where team = libertad , select count draws from table where team = 
552,how many records are there for the game on november 24?, select count record from table where date = november 24 , select count record from table where date = november 24 
553,what date was the opponent in the final barbara paulus?, select date from table where opponent in the final = barbara paulus , select date from table where opponent in the final = mark attendance 
554,"which 2009 has a 2006 of a, and a 2011 of sf?", select 2009 from table where 2006 = a and 2011 = sf , select 2009 from table where 2006 = a and 2011 = a and series = a 
555,"which division does the city being jacksonville, florida belong to?"," select division from table where city = jacksonville, florida ", select division from table where city = florida status 
556,what is the area of the place that has a population density of 331.4?, select max area (km²) from table where density = 331.4 , select max area (km²) from table where population = 
557,"how many wins do the players that earned more than 720,134 have?"," select sum wins from table where earnings( $ ) > 720,134 ", select sum wins from table where earnings ( $ ) > 1 
558,what division was on hbo ppv?, select division from table where tv = hbo ppv , select division from table where language = difference 
559,where is the naghsh jahan stadium?, select city from table where stadium = naghsh jahan , select city from table where stadium = points = poles 
560,what is the amount of assists when mins is 744:27?, select assists from table where mins = 744:27 , select assists from table where date = name 
561,"what catalog released on june 29, 1999 has a digipak album format?"," select catalog from table where format = digipak album and date = june 29, 1999 ", select catalog from table where format = 20 march > jim 2010 
562,who were the candidates in the district where the incumbent was nathaniel macon?, select candidates from table where incumbent = nathaniel macon , select candidates from table where incumbent = 49 
563,"what is the name when death is november 10, 1842?"," select name from table where death = november 10, 1842 "," select name from table where launched = november 10, 1953 "
564,which away team has a home team of collingwood?, select away team from table where home team = collingwood , select away team from table where home team = collingwood 
565,what was the record after the game in which the hurricanes scored 24 points?, select record from table where hurricanes points = 24 , select record from table where game > 24 and points = 15 
566,what pregame analyst(s) had rob stone and monica gonzalez as sideline reporters and were on tsn2?, select pregame analysts from table where sideline reporters = rob stone and monica gonzalez and network = tsn2 ," select pregame draft from table where sideline reporters = dave 27, genre and package/option = jim nominated "
567,who is the publisher of the book titled daughters of an emerald dusk?, select publisher from table where book title = daughters of an emerald dusk , select publisher from table where couple = by title = score 
568,which wind farm is in the usa and is noted as having multiple farms?, select wind farm from table where country = usa and notes = multiple farms , select spike from table where country = and champion = september 11 
569,which lead had a season of 2007-08?, select lead from table where season = 2007-08 , select lead from table where season = wins 
570,which game has a score of 101-109 (ot)?, select avg game from table where score = 101-109 (ot) , select min game from table where score = w from 
571,what is the grid of driver tomas scheckter from vision racing team?, select grid from table where team = vision racing and driver = tomas scheckter , select grid from table where team = car team = written and driver = apps of la grid 
572,what is the most top-10 of the team with 8 cuts made and less than 11 events?, select max top-10 from table where cuts made = 8 and events < 11 , select max top-10 from table where cuts made = 8 and events < 11 
573,where was something built earlier than 1858?, select where built from table where year built < 1858 , select location from table where year built < 2009 and name = number 
574,how many barony's appear when ballyvadona is the townland., select count barony from table where townland = ballyvadona , select count barony from table where townland = 
575,"which bats have throws of r, and a dob of 22 may 1973?", select bats from table where throws = r and d.o.b. = 22 may 1973 ," select from table where losses = 22 and losses = may 23, 2006 "
576,what is the western title for the puzzle genre?, select western title from table where genre = puzzle , select western title from table where genre = 2 
577,what is the british lee-enfield (data for late model) when the japanese type 38 rifle is 5?, select british lee-enfield (data for late model) from table where japanese type 38 rifle = 5 , select british 
578,what is the 3rd edition for episode 4?, select 3rd edition from table where episode = 4 , select 3rd edition from table where episode = 4 
579,what is the all games for maryland?, select all games from table where team = maryland , select games from table where name = record 
580,what year was incumbent phil crane first elected?, select first elected from table where incumbent = phil crane , select first elected from table where incumbent = tim 2006 
581,how many points for maserati v12 engines in 1968?, select count points from table where engine = maserati v12 and year = 1968 , select count points from table where engine = maserati and year > 1987 
582,who won the south african grand prix?, select race winner from table where race = south african grand prix , select winning driver from table where race = south carolina grand prix 
583,name the order number for 1960s, select order # from table where theme = 1960s , select order # from table where theme = 
584,what play is from the country belgium?, select play from table where country = belgium , select country from table where country = belgium 
585,"what is the lowest rank that has university park, pa as the location?"," select min rank from table where location = university park, pa ", select min rank from table where location = university of fl 
586,what is the number of titles for the city of győr with a rank larger than 4?, select sum titles from table where city = győr and rank > 4 , select sum no. from table where city = 4 and name = # and rank > 3 
587,what is the date of attack of the ship with iron ore sunk by u-101 *?, select date of attack from table where fate = sunk by u-101 * and cargo = iron ore , select date of end from table where height = ( m ) and province = st assists = aaaaa of cuts of votes from table = may 
588,what percentage of users were using firefox according to the source that reported 15.40% used safari?, select firefox from table where safari = 15.40% , select firefox from table where firefox = poles 
589,what is the purpose of the callsign with a freq currently of 4gld?, select purpose from table where freq currently = 4gld , select callsign from table where callsign = title 
590,what music is in the film with an uncut run time of 95 minutes?, select music from table where uncut run time = 95 minutes , select music from table where run time = 35 of cuts made = react 
591,what shows for 2006 when 2002 is 0–1?, select 2006 from table where 2002 = 0–1 , select 2006 from table where 2002 = sf 
592,which venue was fouded before 2000 for basketball?, select venue from table where founded < 2000 and sport = basketball , select venue from table where year < 2000 and established = 
593,"which seasons have entries larger than 52, and poles of 33?", select seasons from table where entries > 52 and poles = 33 , select season from table where goal > 0 and team = hawthorn 
594,"what label released a record on march 25, 1984?"," select label from table where date = march 25, 1984 "," select label from table where date = march 25, 1984 "
595,how many people attended the game where the away team scored 16.7 (103) points?, select count crowd from table where away team score = 16.7 (103) , select count crowd from table where away team score = 11.14 of thomas womens racing 
596,how many games were played with 25 legs won with 35 100+?, select played from table where legs won = 25 and 100+ = 35 , select played from table where matches = 25 and won = 35 
597,"on july 8, what was the score?", select score from table where date = july 8 , select score from table where date = july 8 
598,"what was the earliest week the team played the chicago cardinals in front of less than 25,312?"," select min week from table where opponent = chicago cardinals and attendance < 25,312 ", select min week from table where opponent = at washington < 29 
599,@ chicago had a high points of what?, select high points from table where team = @ chicago , select high points from table where team = @ toronto 
600,"what is the pennant when the builder is yarrow, scotstoun?"," select pennant from table where builder = yarrow, scotstoun ", select builder from table where aircraft = 3 
601,which nba draft has a school of huntington high school?, select nba draft from table where school = huntington high school , select nba draft from table where school = points for 
602,what is the nation who won 1 bronze in the olympics during 1924–1928?, select nation from table where olympics = 1924–1928 and bronze = 1 , select nation from table where bronze = 1 and nation = apps 
603,when they were 2-32 what did they score?, select score from table where record = 2-32 , select score from table where record = district = latin 
604,what was the score in the game against the buffalo sabres?, select score from table where opponent = buffalo sabres , select score from table where opponent = buffalo sabres 
605,"which season last aired on may 6, 1987?"," select season from table where last airdate = may 6, 1987 "," select season from table where last airdate = may 5, 1987 "
606,what are the colors of the team hosted by christopher?, select colors from table where host = christopher , select colors from table where host = date = ken 
607,what was the record when the game was played at cleveland municipal stadium?, select record from table where game site = cleveland municipal stadium , select record from table where game site = cleveland stadium 
608,what opponent has a loss of trachsel (10-11)?, select opponent from table where loss = trachsel (10-11) , select opponent from table where loss = at detroit 
609,"what is the sum of the home wins of the boston college eagles, which has more than 6 wins?", select sum home wins from table where institution = boston college eagles and wins > 6 , select sum home wins from table where player = 6 and wins > 6 
610,who were the candidates in the louisiana 4 district?, select candidates from table where district = louisiana 4 , select candidates from table where district = louisiana 4 
611,what is the average number lost when points is 14 and position is more than 1?, select avg lost from table where points = 14 and position > 1 , select avg lost from table where points = 14 and played > 14 
612,"play-by-play of sean grande, and a flagship station of wrko involved what color commentator?", select color commentator(s) from table where play-by-play = sean grande and flagship station = wrko , select color commentator(s) from table where max. age = age and a = choice 
613,what was the margin of victory of steve stricker as a runner up?, select margin of victory from table where runner(s)-up = steve stricker , select margin of victory from table where runner(s)-up = steve runner(s)-up 
614,name the score for opponent in the final being paul baccanello, select score from table where opponent in the final = paul baccanello , select score from table where opponent in the final = paul 
615,"who wrote the episode titled ""in the dark""?"," select written by from table where title = ""in the dark"" ", select written by from table where title = the air date = choice 
616,what is the visitor of the montreal canadiens home game with a record of 6–4–4?, select visitor from table where home = montreal canadiens and record = 6–4–4 , select visitor from table where home = montreal canadiens and record = table 
